name,finalWorth,category,country,city,source,industries,selfMade,gender,birthDate
Fredriksen;John,13700,Logistics,United Kingdom,London,Shipping,Logistics,True,M,1945-02-01 00:00:00
Hendricks;Diane,13700,Construction & Engineering,United States,Afton,Building supplies,Construction & Engineering,True,F,1947-03-02 00:00:00
Koum;Jan,13700,Technology,United States,Atherton,WhatsApp,Technology,True,M,1976-02-24 00:00:00
Jones;Jerry,13300,Sports,United States,Dallas,Dallas Cowboys,Sports,True,M,1942-10-13 00:00:00
Kaiser;George,13300,Energy,United States,Tulsa,"Oil & gas, banking",Energy,False,M,1942-07-29 00:00:00
Lu;Xiangyang,13200,Automotive,China,Guangzhou,"Automobiles, batteries",Automotive,True,M,1962-12-28 00:00:00
Triguboff;Harry,13100,Real Estate,Australia,Sydney,Real estate,Real Estate,True,M,1933-03-03 00:00:00
Kotak;Uday,12900,Finance & Investments,India,Mumbai,Banking,Finance & Investments,True,M,1959-03-15 00:00:00
Kroenke;Stanley,12900,Sports,United States,Electra,"Sports, real estate",Sports,True,M,1947-07-29 00:00:00
Fridman;Mikhail,12600,Energy,United Kingdom,London,"Oil, banking, telecom",Energy,True,M,1964-04-21 00:00:00
Ratanavadi;Sarath,12300,Energy,Thailand,Bangkok,Energy,Energy,True,M,1965-07-12 00:00:00
Dang;Yanbao,12200,Metals & Mining,China,Yinchuan,Coal,Metals & Mining,True,M,1973-02-01 00:00:00
Jiang;Rensheng,12200,Healthcare,China,Chongqing,Vaccines,Healthcare,True,M,1953-10-08 00:00:00
Khan;Shahid,12100,Automotive,United States,Naples,Auto parts,Automotive,True,M,1950-07-18 00:00:00
Powell Jobs;Laurene,12000,Technology,United States,Palo Alto,"Apple, Disney",Technology,False,F,1963-11-06 00:00:00
Ross;Stephen,11600,Real Estate,United States,New York,Real estate,Real Estate,True,M,1940-05-10 00:00:00
Durov;Pavel,11500,Technology,United Arab Emirates,Dubai,Messaging app,Technology,True,M,1984-10-10 00:00:00
Struengmann;Andreas,11500,Healthcare,Germany,Tegernsee,Pharmaceuticals,Healthcare,True,M,1950-02-16 00:00:00
Struengmann;Thomas,11500,Healthcare,Germany,Tegernsee,Pharmaceuticals,Healthcare,True,M,1950-02-16 00:00:00
Liu;Hanyuan,11400,Food & Beverage,China,Chengdu,Agribusiness,Food & Beverage,True,M,1964-01-01 00:00:00
Rubin;Michael,11400,Fashion & Retail,United States,Bryn Mawr,Online retail,Fashion & Retail,True,M,1972-07-21 00:00:00
Englander;Israel,11300,Finance & Investments,United States,New York,Hedge funds,Finance & Investments,True,M,1948-09-30 00:00:00
Kantor;Viatcheslav,11300,Manufacturing,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,True,M,1953-09-08 00:00:00
Pratt;Anthony,11300,Manufacturing,Australia,Melbourne,Manufacturing,Manufacturing,False,M,1960-04-11 00:00:00
Prokhorov;Mikhail,11300,Finance & Investments,Switzerland,Frauenfeld,Investments,Finance & Investments,True,M,1965-05-03 00:00:00
Armani;Giorgio,11100,Fashion & Retail,Italy,Milan,Luxury goods,Fashion & Retail,True,M,1934-07-11 00:00:00
Rupert;Johann,11100,Fashion & Retail,South Africa,Cape Town,Luxury goods,Fashion & Retail,False,M,1950-06-01 00:00:00
Zhang;Zhidong,11000,Technology,China,Shenzhen,Internet media,Technology,True,M,1972-01-01 00:00:00
Anschutz;Philip,10900,Finance & Investments,United States,Denver,"Energy, sports, entertainment",Finance & Investments,False,M,1939-12-28 00:00:00
Love;Judy,10900,Fashion & Retail,United States,Oklahoma City,Gas stations,Fashion & Retail,True,F,1937-06-17 00:00:00
Salinas Pliego;Ricardo,10900,Fashion & Retail,Mexico,Mexico City,"Retail, media",Fashion & Retail,False,M,1955-10-19 00:00:00
Newhouse;Donald,10700,Media & Entertainment,United States,New York,Media,Media & Entertainment,False,M,2029-08-05 00:00:00
Kraft;Robert,10600,Sports,United States,Brookline,"Manufacturing, New England Patriots",Sports,True,M,1941-06-05 00:00:00
Telles;Marcel Herrmann,10600,Food & Beverage,Brazil,Sao Paulo,Beer,Food & Beverage,True,M,1950-01-01 00:00:00
Kerimov & family;Suleiman,10500,Finance & Investments,Russia,Moscow,Gold,Finance & Investments,True,M,1966-03-12 00:00:00
Xu;Sky,10500,Fashion & Retail,China,Guangzhou,E-commerce,Fashion & Retail,True,M,1984-01-01 00:00:00
Zhao;Changpeng,10500,Finance & Investments,United Arab Emirates,Dubai,Cryptocurrency exchange,Finance & Investments,True,M,1977-09-10 00:00:00
Beal;Andrew,10300,Finance & Investments,United States,Dallas,"Banks, real estate",Finance & Investments,True,M,1952-11-29 00:00:00
Cannon-Brookes;Mike,10200,Technology,Australia,Sydney,Software,Technology,True,M,1979-11-17 00:00:00
Cook;Carl,10200,Healthcare,United States,Bloomington,Medical devices,Healthcare,False,M,1962-08-19 00:00:00
Duffield;David,10200,Technology,United States,Incline Village,Business software,Technology,True,M,1940-09-21 00:00:00
Hildebrand;Jeffery,10200,Energy,United States,Houston,Oil,Energy,True,M,1959-03-05 00:00:00
Rashnikov;Viktor,10200,Manufacturing,Russia,Magnitogorsk,Steel,Manufacturing,True,M,1948-10-13 00:00:00
Saverin;Eduardo,10200,Technology,Singapore,Singapore,Facebook,Technology,True,M,1982-03-19 00:00:00
Schaeffler;Georg,10200,Automotive,Germany,Herzogenaurach,Auto parts,Automotive,False,M,1964-10-19 00:00:00
Walton;Christy,10200,Fashion & Retail,United States,Jackson,Walmart,Fashion & Retail,False,F,1949-02-08 00:00:00
Farquhar;Scott,10100,Technology,Australia,Sydney,Software,Technology,True,M,1979-12-17 00:00:00
Quek;Leng Chan,10100,Diversified,Malaysia,Kuala Lumpur,"Banking, property",Diversified,False,M,1941-08-12 00:00:00
Wu;Yajun,10100,Real Estate,China,Beijing,Real estate,Real Estate,True,F,1964-01-01 00:00:00
Stephens;Autry,10000,Energy,United States,Midland,Oil,Energy,True,M,1938-03-08 00:00:00
Liu;Yongxing,9900,Service,China,Shanghai,Diversified,Service,True,M,1948-06-01 00:00:00
Adani;Vinod,9800,Diversified,United Arab Emirates,Dubai,"Infrastructure, commodities",Diversified,True,M,1949-01-10 00:00:00
Puech;Nicolas,9800,Fashion & Retail,Switzerland,Martigny,Hermes,Fashion & Retail,False,M,1943-01-29 00:00:00
Saade;Jacques,9800,Logistics,France,Marseille,Shipping,Logistics,False,M,1971-08-10 00:00:00
Saade;Rodolphe,9800,Logistics,France,Marseille,Shipping,Logistics,False,M,1970-03-03 00:00:00
Saade Zeenny;Tanya,9800,Logistics,France,Marseille,Shipping,Logistics,False,F,1968-02-01 00:00:00
Schorling;Melker,9800,Finance & Investments,Sweden,Stockholm,Investments,Finance & Investments,True,M,1947-05-15 00:00:00
Guriev & family;Andrei,9700,Manufacturing,Russia,Moscow,Fertilizers,Manufacturing,True,M,1960-03-24 00:00:00
Kim;Michael,9700,Finance & Investments,South Korea,Seoul,Private equity,Finance & Investments,True,M,1963-10-01 00:00:00
Lei;Jun,9700,Technology,China,Beijing,Smartphones,Technology,True,M,1969-12-16 00:00:00
Loh;Friedhelm,9700,Manufacturing,Germany,Haiger,Manufacturing,Manufacturing,False,M,1946-08-15 00:00:00
Sun;Piaoyang,9700,Healthcare,China,Lianyungang,Pharmaceuticals,Healthcare,True,M,1958-09-01 00:00:00
Cohen;Rick,9600,Technology,United States,Keene,Warehouse automation,Technology,False,M,1952-07-25 00:00:00
Jin;Baofang,9600,Energy,China,Xingtai,Solar panels,Energy,True,M,1952-09-01 00:00:00
Luo;Liguo,9600,Manufacturing,China,Ningbo,Chemicals,Manufacturing,True,M,1956-03-01 00:00:00
Mars;Marijke,9600,Food & Beverage,United States,Los Angeles,"Candy, pet food",Food & Beverage,False,F,1964-07-28 00:00:00
Mars;Pamela,9600,Food & Beverage,United States,Alexandria,"Candy, pet food",Food & Beverage,False,F,1960-08-01 00:00:00
Mars;Valerie,9600,Food & Beverage,United States,New York,"Candy, pet food",Food & Beverage,False,F,1959-01-26 00:00:00
Mars;Victoria,9600,Food & Beverage,United States,Philadelphia,"Candy, pet food",Food & Beverage,False,F,1956-12-15 00:00:00
Bollore;Vincent,9500,Finance & Investments,France,Paris,Investments,Finance & Investments,False,M,1952-04-01 00:00:00
Pattison;Jim,9500,Diversified,Canada,Vancouver,Diversified,Diversified,True,M,2028-10-01 00:00:00
Bertarelli;Ernesto,9400,Healthcare,Switzerland,Gstaad,"Biotech, investments",Healthcare,False,M,1965-09-22 00:00:00
Wang;Xing,9400,Technology,China,Beijing,Food delivery,Technology,True,M,1979-02-18 00:00:00
Chesky;Brian,9300,Technology,United States,San Francisco,Airbnb,Technology,True,M,1981-08-29 00:00:00
Dyson;James,9300,Manufacturing,United Kingdom,Gloucestershire,Vacuums,Manufacturing,True,M,1947-05-02 00:00:00
Abramovich;Roman,9200,Diversified,Russia,Moscow,"Steel, investments",Diversified,True,M,1966-10-24 00:00:00
Ax:son Johnson;Antonia,9200,Diversified,Sweden,Stockholm,Diversified,Diversified,False,F,1943-09-06 00:00:00
Kretinsky;Daniel,9200,Energy,Czech Republic,Prague,"Energy, investments",Energy,True,M,1975-07-09 00:00:00
Malone;John,9200,Media & Entertainment,United States,Elizabeth,Cable television,Media & Entertainment,True,M,1941-03-07 00:00:00
Premji;Azim,9200,Technology,India,Bangalore,Software services,Technology,False,M,1945-07-24 00:00:00
Schwab;Charles,9200,Finance & Investments,United States,Woodside,Discount brokerage,Finance & Investments,True,M,1937-07-29 00:00:00
Smidt;Eric,9200,Fashion & Retail,United States,Beverly Hills,Hardware stores,Fashion & Retail,True,M,1960-01-01 00:00:00
Cheriton;David,9000,Technology,United States,Palo Alto,Google,Technology,True,M,1951-03-29 00:00:00
Glasenberg;Ivan,9000,Metals & Mining,Switzerland,Ruschlikon,Mining,Metals & Mining,True,M,1957-01-07 00:00:00
Otto;Alexander,9000,Real Estate,Germany,Hamburg,Real estate,Real Estate,False,M,1967-07-07 00:00:00
von Mandl;Anthony,9000,Food & Beverage,Canada,Vancouver,Alcoholic beverages,Food & Beverage,True,M,1950-03-10 00:00:00
Wang;Liping,9000,Manufacturing,China,Changzhou,Hydraulic machinery,Manufacturing,True,M,1966-02-24 00:00:00
Rausing;Finn,8900,Food & Beverage,United Kingdom,London,Packaging,Food & Beverage,False,M,1955-01-01 00:00:00
Rausing;Jorn,8900,Food & Beverage,United Kingdom,Surrey,Packaging,Food & Beverage,False,M,1960-01-01 00:00:00
Rausing;Kirsten,8900,Food & Beverage,United Kingdom,Newmarket,Packaging,Food & Beverage,False,F,1952-06-06 00:00:00
Bakalchuk;Tatyana,8800,Fashion & Retail,Russia,Moscow region,Ecommerce,Fashion & Retail,True,F,1975-10-16 00:00:00
Doerr;John,8800,Technology,United States,Woodside,Venture capital,Technology,True,M,1951-06-29 00:00:00
Liu;Richard,8800,Technology,China,Beijing,E-commerce,Technology,True,M,1974-03-10 00:00:00
Moskovitz;Dustin,8800,Technology,United States,San Francisco,Facebook,Technology,True,M,1984-05-22 00:00:00
Omidyar;Pierre,8800,Technology,United States,Honolulu,"EBay, PayPal",Technology,True,M,1967-06-21 00:00:00
Pei;Zhenhua,8800,Energy,China,Ningde,Batteries,Energy,True,M,1959-01-01 00:00:00
Perrodo;Carrie,8800,Energy,United Kingdom,London,Oil,Energy,False,F,1951-01-01 00:00:00
Chen;Jianhua,8700,Manufacturing,China,Wujiang,Chemicals,Manufacturing,True,M,1971-01-01 00:00:00
Otto;Michael,8700,Fashion & Retail,Germany,Hamburg,"Retail, real estate",Fashion & Retail,False,M,1943-04-12 00:00:00
Black;Leon,8600,Finance & Investments,United States,New York,Private equity,Finance & Investments,True,M,1951-07-31 00:00:00
Hart;Graeme,8600,Finance & Investments,New Zealand,Auckland,Investments,Finance & Investments,True,M,1955-06-06 00:00:00
Jaipuria;Ravi,8600,Food & Beverage,India,Delhi,"Soft drinks, fast food",Food & Beverage,False,M,1954-11-28 00:00:00
Plattner;Hasso,8600,Technology,Germany,Heidelberg,Software,Technology,True,M,1944-01-21 00:00:00
Sicupira;Carlos Alberto,8600,Food & Beverage,Switzerland,St. Gallen,Beer,Food & Beverage,True,M,1948-01-01 00:00:00
Villar;Manuel,8600,Real Estate,Philippines,Manila,Real estate,Real Estate,True,M,1949-12-13 00:00:00
von Bechtolsheim;Andreas,8600,Technology,United States,Palo Alto,Google,Technology,True,M,1955-09-30 00:00:00
Coleman;Chase,8500,Finance & Investments,United States,New York,Investments,Finance & Investments,True,M,1975-06-21 00:00:00
Kroenke;Ann Walton,8500,Fashion & Retail,United States,Electra,Walmart,Fashion & Retail,False,F,1948-12-18 00:00:00
Li;Zhenguo,8500,Manufacturing,China,Xi'an,Solar wafers and modules,Manufacturing,True,M,1968-01-01 00:00:00
Kennedy;Jim,8400,Media & Entertainment,United States,Atlanta,"Media, automotive",Media & Entertainment,False,M,1947-11-29 00:00:00
Oppenheimer;Nicky,8400,Metals & Mining,South Africa,Johannesburg,Diamonds,Metals & Mining,False,M,1945-06-08 00:00:00
Parry-Okeden;Blair,8400,Media & Entertainment,Australia,New South Wales,"Media, automotive",Media & Entertainment,False,F,1950-05-21 00:00:00
Zheng;Shuliang,8400,Metals & Mining,China,Binzhou,Aluminum products,Metals & Mining,False,F,1946-01-01 00:00:00
Morris;John,8300,Fashion & Retail,United States,Springfield,Sporting goods retail,Fashion & Retail,True,M,1948-03-19 00:00:00
Khan;German,8200,Energy,Russia,Moscow,"Oil, banking, telecom",Energy,True,M,1961-10-24 00:00:00
Rabiu;Abdulsamad,8200,Diversified,Nigeria,Lagos,"Cement, sugar",Diversified,False,M,1960-08-04 00:00:00
